25,13,4,1,8,0,0,1,7,4,0,23,18,5,27,36,2,41,9,14,11,6,29,21,3,38,16,1,0,4,30
1,7,15,22,9,3,28,1,6,35,13,24,1,8,26,3,5,39,0,1,14,7,2,0,4,37,15,2,0,0,0
18,0,32,14,6,2,30,21,8,42,11,25,0,7,29,3,3,43,1,15,13,8,31,23,5,0,17,4,22,6,0
0,1,35,16,7,4,0,23,9,45,1,27,22,9,31,0,6,47,14,17,15,9,34,26,7,42,19,5,24,8,32
15,8,28,11,5,1,26,16,4,37,9,0,15,6,2,31,2,39,0,13,1,5,29,21,3,36,14,1,18,4,0
22,11,38,13,7,3,29,1,6,4,0,23,18,7,2,35,4,44,1,16,14,8,32,25,5,0,17,2,21,6,30
17,9,31,1,6,2,27,18,5,36,8,21,16,5,2,32,3,38,11,14,13,6,28,0,4,35,15,1,19,3,0
19,0,34,15,8,4,32,22,7,43,1,26,21,8,30,37,5,46,13,16,15,7,33,24,6,41,18,3,23,7,31
14,7,27,0,4,1,24,15,3,3,7,18,13,4,22,29,1,36,8,11,0,3,25,17,2,32,12,0,16,2,0
21,1,39,14,6,3,0,0,8,42,11,24,1,6,28,34,2,0,9,13,1,5,31,23,4,38,1,1,22,5,29
16,8,29,11,5,2,25,17,4,37,9,22,17,5,26,33,3,39,0,1,11,4,27,19,3,34,13,0,18,3,0
23,13,4,15,7,4,33,24,9,45,13,2,2,9,32,38,6,4,14,18,16,8,35,27,6,43,1,2,25,7,3
